"firm","link","business","companyintroduction","companyname","province","city","registeredcapital","datacertification","securitydeposit","businessmode","businessscope","productssold","productspurchased","mainindustry","companytype","companysize","registrationyear","component","service","endproduct","city_eng","province_eng"
"上海光赢能源科技有限公司","https://www.81uav.cn/com/guangying-sar/","服务范围：Mini SAR、无人机载Mini SAR、合成孔径雷达","上海光赢能源科技有限公司成立于2009年，注册资本金1000万元，是依托中国科学院SAR原研发人员技术成立的一家集雷达系统集成、海洋仪器设备研发的创新型企业。研发和生产基地设立在昆山。 上海光赢能源科技有限公司主要致力于高新技术成果的转移、转化与再创新，专注于微波遥感技术产品化、微波数据服务应用。公司在海洋环境数据监测、低空安全、周界防护、光伏系统集成、微波数据信息智能化服务等领域提供自主研发的产品、遥感数据服务及行业应用的完整解决方案。 公司主要研发经营多波段机载合成孔径雷达、Mini SAR雷达、海洋仪器以及太阳能供电设备，其中Mini SAR雷达在2018年 “桑吉”号油轮失事勘察过程中发挥了重大的作用。","上海光赢能源科技有限公司","上海","上海","1000万人民币",NA,"已缴纳 0.00 元","制造商","Mini SAR、无人机载Mini SAR、合成孔径雷达","Mini SAR、合成孔径雷达、无人机载Mini SAR","Not available","设备工具仪表 / 设备 无人机整机 / 工业无人机","企业单位 (制造商)","1-49人",2009,0,0,1,"Shanghai","Shanghai"
"中山小德动力科技有限公司","https://www.81uav.cn/com/xiaode-dynamics/","服务范围：主营市场：低空载人飞行器、工业应用、农业植保、无人舰艇、水上运动、移动机器人、消费类无人机等。 主营产品：无人机动力套装（无刷外转子电机，螺旋桨，电子调速器），机器人伺服关节模组（电机，减速机，控制器），船用动力套装（观光船、冲浪板、潜水器）等。","中山小德动力科技有限公司最早成立于2015年，位于广东省中山市，是一家集研发、生产、销售为一体的企业。为提高企业内部管理模式，取得了“GB/T19001-2016/ISO9001：2015国际质量管理体系标准”证书。 小德动力倡导“以人为本，科技创新，绿色电动，节能环保。”理念，以品牌化为发展战略，不断开拓国内外市场。多年来，产品销往全球各地，受到国内外客户的一致好评。 公司产品广泛应用于无人机、安防、汽车工业、军工、智能家居、电动工具等领域，畅销中国大陆、中国台湾、中国香港、美国、欧洲、日本以及东南亚等国家和地区，是国内外多家知名企业的主要供应商。 小德动力以性能优异的动力系统于行业领域内崭露头角，荣获2023年第四届无人系统行业金翼奖。在军工、民用、商用等应用动力系统上开拓创新，覆盖不同范围的多种类电机，具有百万台无人机电机的年产能。发展期间自研匹配的电子调速器，以控制性能优良、结构简单、稳定性好以及适用于非线性系统等特点，实现电机转速的精确输出，极大提高了客户的测试和装配效率；并已申请最新电机、电子调速器核心技术专利；拥有行业内先进的生产设备、创新的生产工艺、完善的产品检测、质量保证体系和业内顶尖的研发队伍。基于多年的运营和开发经验，一站式供应体系的独特优势，可以根据客户的特殊要求实现敏捷开发。","中山小德动力科技有限公司","广东","中山","100万人民币",NA,"已缴纳 0.00 元","制造商","主营市场：低空载人飞行器、工业应用、农业植保、无人舰艇、水上运动、移动机器人、消费类无人机等。 主营产品：无人机动力套装（无刷外转子电机，螺旋桨，电子调速器），机器人伺服关节模组（电机，减速机，控制器），船用动力套装（观光船、冲浪板、潜水器）等。","无人机动力套装（无刷外转子电机，螺旋桨，电子调速器），机器人伺服关节模组（电机，减速机，控制器），船用动力套装（观光船、冲浪板、潜水器）等。","Not available","无人机整机 / 无人机配件 / 螺旋桨 无人机整机 / 无人机配件 / 电调 无人机整机 / 无人机配件 / 电机（马达）","企业单位 (制造商)","50-99人",2020,1,0,0,"Zhongshan prefecture level city in Guangdong province","hillsides"
"四川御风行科技","https://www.81uav.cn/com/scyfx/","服务范围：大载重无人机、测绘无人机、定制无人机","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；智能无人飞行器销售；民用航空材料销售；导航、测绘、气象及海洋专用仪器销售；地质勘查技术服务；地理遥感信息服务；智能无人飞行器制造【分支机构经营】；导航、测绘、气象及海洋专用仪器制造【分支机构经营】。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）","四川御风行科技","四川","成都","100万人民币",NA,"已缴纳 0.00 元","制造商","大载重无人机、测绘无人机、定制无人机","50公斤大载重无人机|巡检测绘固定翼无人机|正射影像测绘无人机|","Not available","无人机整机 / 其他无人机 无人机整机 / 工业无人机","个体经营 (制造商)","1-49人",2015,0,0,1,"Chengdu","Sichuan"
"河北乐光科技有限公司","https://www.81uav.cn/com/manniu520/","服务范围：无人直升机的研发，服务，生产","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；智能机器人的研发；智能机器人销售；智能无人飞行器制造；智能无人飞行器销售；民用航空材料销售；计算机软硬件及辅助设备零售；人工智能行业应用系统集成服务；电子产品销售；互联网设备销售；网络技术服务；数据处理和存储支持服务；建筑材料销售；机械设备租赁；租赁服务（不含许可类租赁服务）；劳务服务（不含劳务派遣）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第二类增值电信业务；建设工程施工；通用航空服务；民用航空器（发动机、螺旋桨）生产；民用航空器零部件设计和生产；测绘服务；飞行训练；民用航空器驾驶员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准） 复制","河北乐光科技有限公司","河北","","500万人民币",NA,"已缴纳 0.00 元","服务商","无人直升机的研发，服务，生产","Not available","Not available","无人机整机 / 航拍无人机","个体经营 (服务商)","1-49人",2013,0,0,1,NA,"anhui"
"鼎飞航空","https://www.81uav.cn/com/xiang565688/","服务范围：全系列无人机消费级工业级安防级","无人机制造欢迎询价下单","鼎飞航空","四川","成都","5000万人民币",NA,"已缴纳 0.00 元","制造商","全系列无人机消费级工业级安防级","无人机整机|消耗配件|保险","Not available","无人机整机 / 军警无人机 无人机整机 / 植保无人机 无人机整机 / 航拍无人机 无人机整机 / 工业无人机 无人机整机 / 娱乐无人机 反无人机系统 无人机培训 / 无人机驾驶培训 无人机培训 / 无人机应用培训 无人机培训 / 无人机技术培训 无人机培训 / 无人机其他培训 无人机租用服务 / 影视航拍 无人机租用服务 / 植保作业 无人机租用服务 / 工业应用 无人机租用服务 / 安防监控 无人机租用服务 / 其他租用","企业单位 (制造商)","100-499人",2003,0,1,0,"Chengdu","Sichuan"
"景琛展览服务（上海）有限公司","https://www.81uav.cn/com/shgcg2016/","服务范围：展览展示服务，会务服务，礼仪服务，摄影摄像服务","景琛展览服务（上海)有限公司是一家从事大型国际展览、会议和活动全方位服务、致力于促进中外贸易交流的专业展览公司，总部位于中国上海。下设国内展览部、国际展览部、宣传策划部、精彩回顾部、财务部、审计部、客服部、服务中心等。","景琛展览服务（上海）有限公司","上海","上海","未填写",NA,"已缴纳 0.00 元","服务商","展览展示服务，会务服务，礼仪服务，摄影摄像服务","Not available","Not available","无人机展会活动 无人机整机 / 其他无人机 无人机用品 / 车辆","企业单位 (服务商)",NA,2017,0,0,1,"Shanghai","Shanghai"
"惠州市飞舜科技有限公司","https://www.81uav.cn/com/flashhobby/","服务范围：无人机电机、电调、飞控、舵机、配件。","FLASH HOBBY，为具有先进技术的无人机提供推进系统解决方案，专注于电机，ESC（电子调速器）和伺服。我们的产品已通过ISO9001:2015国际质量管理体系认证，广泛应用于航拍、工业、农业和商业领域，我们的产品以高品质获得很高的声誉。我们拥有强大的研发能力和信心、为所有客户提供OEM、ODM、RC解决方案，因为我们的技术团队来自知名品牌企业和在RC行业丰富经验。          FLASH HOBBY,一直专注于全系列的飞控系统，无刷调速器/ESC，FOC调速器（ESC），外转子无刷电机，霍尔无刷电机和摄影应用，为许多著名品牌提供高品质的RC解决方案。FLASH HOBBY，以客户需求为导向，以提高产品性能和质量为目标，为客户提供满意的产品。产品系列有FPV无刷电机，航模电机，多轴无刷电机，固定翼电机，直升机电机，齿轮箱电机，无刷电调，飞控及飞塔，32位数字舵机及微型舵机。           FLASH HOBBY,除了提供RC产品相关配件外，可根据客户的不同需求，提供各种OEM/ODM服务，以满足客户的各种需求。我们愿意与您----我们尊敬的客户一起成长，互惠互利。        欢迎与我们合作！","惠州市飞舜科技有限公司","广东","惠州","500万人民币",NA,"已缴纳 0.00 元","制造商","无人机电机、电调、飞控、舵机、配件。","无人机电机|无刷电机|无刷电调|FPV飞控|微型舵机|固定翼电机|多轴无刷电机|直升机电机|机器人电机|云台电机|齿轮箱马达|航模配件","航模电池|航模配件","无人机整机 / 无人机配件 / 电机（马达） 无人机整机 / 无人机配件 / 电调 无人机整机 / 无人机配件 / 舵机 无人机整机 / 无人机配件 / 飞行控制 无人机整机 / 无人机配件 / 螺旋桨 无人机整机 / 无人机配件 / 电池","企业单位 (制造商)","100-499人",2019,1,0,0,"Huizhou prefecture level city in Guangdong province","hillsides"
"湖北创汉科技有限公司","https://www.81uav.cn/com/hbchkj123456789/","服务范围：工业设计；扫描逆向；3D打印；模型制作；手板样件；小批量复模生产；","湖北创汉科技有限公司是一家从事汽车设计、工业设计、扫描逆向、3D打印、样件模型及小批量复模生产的企业，公司技术核心团队由东风技术中心原班人马打造，立足于武汉车谷，业务辐射整个华中地区，配备了专业的设计团队及配套的生产设施，为您的新品研发提供全方位的支持！","湖北创汉科技有限公司","湖北","武汉","500万人民币",NA,"已缴纳 0.00 元","Not available","工业设计；扫描逆向；3D打印；模型制作；手板样件；小批量复模生产；","汽车设计；工业设计；扫描逆向；3D打印；模型制作；手板样件；小批量复模生产","汽车设计；工业设计；扫描逆向；3D打印；模型制作；手板样件；小批量复模生产；","无人机通用件 / 油漆 无人机整机 / 工业无人机","企业单位 ()","1-49人",2022,0,0,1,"Wuhan city on Changjiang, subprovincial city and capital of Hubei province","Hubei"
"陕西国飞领翼科技有限公司","https://www.81uav.cn/com/gf22_-23/","服务范围：工业级无人机产品研发、生产、制造、销售、培训为一体。","陕西国飞领翼科技有限公司成立于2022年10月21日，位于商州区电子科技产业园7号厂房西区，是江苏国飞无人机技术研究院投资控股生产基地，商州区重点招商引资企业，商州区工业级无人机生产基地项目的建设单位。公司主要生产制造各类工业级无人机，是一家集研发、生产、制造、销售、培训为一体的现代化企业，产品主要包括固定翼无人机、无人直升机和多旋翼无人机，主要应用于应急、消防、巡检、环保、测绘、执法等多个行业领域。我公司独家研发生产的无人机可实现远距离高空火情侦查，火场指挥，远程物资投送，高海拔山地消防灭火等复杂环境的应急作业。同时根据森林火灾的复杂性，我公司自主研发生产的爆炸灭火弹，可一次扑灭林地火灾50平方米，还可携带专业的无人灭火喷罐，准确高效的遏制树头火，通过多巡查，早发现，多架次，多弹量，快打击，有效控制火势，遏制火灾蔓延，为后续灭火工作打下坚实基础。 我公司生产基地一期项目租赁标准化厂房10000m²，建设内容包括100公斤以下、3.5米以下电动多旋翼生产线以及垂起固定翼无人机生产线等，生产车间主要包括生产区、板焊区、测试区、质检区，同时建设EMC与EMI通信测试等4个实验室，一期项目总投资2亿元。二期项目将建设无人机定制厂房20000m²，主要建设100公斤以上，翼展10米以上无人机生产线，包括无人直升机生产线以及固定翼飞机生产线，二期项目预计总投资3亿元。项目于2022年10月开工，2023年5月一期项目投产，一二期建设完成后，可实现年产值3亿元，带动就业200余人。可借助高科技手段实现对秦岭保护区域的常态化巡查、隐患排查和高效管控，有力的促进区域经济社会发展，同时对森林防火灭火、秦岭生态保护、双碳交易等将起到有力的推动作用。","陕西国飞领翼科技有限公司","陕西","商洛","3000万人民币",NA,"已缴纳 0.00 元","制造商","工业级无人机产品研发、生产、制造、销售、培训为一体。","四轴多旋翼|六轴多旋翼|垂起固定翼|垂起复合翼","Not available","无人机整机 / 工业无人机","企业单位 (制造商)","50-99人",2022,0,0,1,"Shangluo prefecture level city in Shaanxi","Shaanxi"
"深圳市佶象创新科技有限公司","https://www.81uav.cn/com/luckintech/","服务范围：无人机工业级 玩具无人机 航拍无人机","佶象创新是一家集研发、生产和销售为一体的无 人机创新制造企业，并为用户提供完善的工业级无人机行业应用解决方案， 坚持走自主创新发展道路， 不断提升产品服务质量， 为行业和个人提供更安全、更高效、更智能的科技服务。","深圳市佶象创新科技有限公司","广东","深圳","5000万人民币",NA,"已缴纳 0.00 元","制造商","无人机工业级 玩具无人机 航拍无人机","无人机 机器人 工业无人机","无人机","无人机整机 / 航拍无人机","企业单位 (制造商)","500-999人",2007,0,0,1,"Shenzhen subprovincial city in Guangdong, special economic zone close Hong Kong","hillsides"
"云统帅航空科技","https://www.81uav.cn/com/yts-uav/","服务范围：飞行器、航空设备（不含发动机及螺旋桨）、机电设备及配件的研发生产组装销售及技术咨询；飞行器维修及技术服务，组织科技文化艺术交流活动，飞行器租赁业务；销售：教学用模型、玩具模型等。","Not available","云统帅航空科技","山东","青岛","500万人民币",NA,"已缴纳 0.00 元","服务商","飞行器、航空设备（不含发动机及螺旋桨）、机电设备及配件的研发生产组装销售及技术咨询；飞行器维修及技术服务，组织科技文化艺术交流活动，飞行器租赁业务；销售：教学用模型、玩具模型等。","无人机销售|无人机运维服务|无人机培训|无人机反制","Not available","无人机整机 / 工业无人机 反无人机系统 无人机培训 / 无人机驾驶培训 无人机租用服务 / 影视航拍 无人机培训 / 无人机应用培训","企业单位 (服务商)","1-49人",2017,0,1,0,"Qingdao, subprovincial city in Shandong","Shandong"
"中航恒拓智能科技河北有限公司","https://www.81uav.cn/com/91130108398833810/","服务范围：智能机器人销售研发、智能无人飞行器销售","中航恒拓智能科技河北有限公司成立于2014年7月，于2017年与中航无人机合作成立中航恒拓无人机教育品牌。专门致力于教育、科研无人机领域，主要提供面向教育教学及科研、竞赛的人工智能+无人机解决方案及相关配套产品。主要产品及服务包括面向教育的无人机实训平台、无人机创客实验室解决方案、无人机实训实验室解决方案、职业院校无人机应用技术专业建设方案、无人机产教融合实训基地建设等，为各类教育机构提供无人机教育、实训实践、竞赛及学科建设一站式服务。","中航恒拓智能科技河北有限公司","河北","石家庄","600万人民币",NA,"已缴纳 0.00 元","制造商","智能机器人销售研发、智能无人飞行器销售","智能机器人|智能无人飞行器|智能仪器仪表|计算机软硬件及辅助设备","Not available","无人机整机","企业单位 (制造商)","1-49人",2014,0,0,1,"Shijiazhuang prefecture level city in Hebei","anhui"
"北京企发展览有限公司","https://www.81uav.cn/com/linan/","服务范围：展览展示会议","北京企发展览服务有限公司是一家大中型专业展览策划组织服务机构，公司成立于2001年12月，现有员工120多人，下设七个职能部门。公司自成立以来，已成功举办了数十个大型展览会，创出了一批全国知名的展会品牌。","北京企发展览有限公司","北京","北京","50万人民币",NA,"已缴纳 0.00 元","服务商","展览展示会议","无人机/反无装备/特种机器人/水下装备","无人机/反无装备/特种机器人/水下装备","无人机整机 / 军警无人机","企业单位 (服务商)","100-499人",2001,0,0,1,"Beijing, capital of People's Republic of China","Beijing, capital of People's Republic of China"
"华盈信通技术有限公司","https://www.81uav.cn/com/huayingxintong/","服务范围：值保无人机、航拍无人机、手持无人机","Not available","华盈信通技术有限公司","北京","北京","8800万人民币",NA,"已缴纳 0.00 元","贸易商","值保无人机、航拍无人机、手持无人机","值保无人机|航拍无人机|手持无人机","Not available","无人机整机 / 植保无人机 无人机整机 / 航拍无人机","企业单位 (贸易商)","50-99人",2005,0,0,1,"Beijing, capital of People's Republic of China","Beijing, capital of People's Republic of China"
